Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CAP
SSW,Seaspan Corporation,8.7,$1.18B,2005,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/ssw,#VALUE!
MOV,Movado Group Inc.,51.6,$1.19B,n/a,Consumer Non-Durables,Consumer Specialties,https://www.nasdaq.com/symbol/mov,#VALUE!
PMT,PennyMac Mortgage Investment Trust,19.61,$1.19B,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pmt,#VALUE!
QUAD,"Quad Graphics, Inc",22.19,$1.19B,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/quad,#VALUE!
TBI,"TrueBlue, Inc.",28.75,$1.19B,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/tbi,#VALUE!
TRTX,"TPG RE Finance Trust, Inc.",19.75,$1.19B,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/trtx,#VALUE!
ATKR,Atkore International Group Inc.,25.93,$1.21B,2016,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atkr,#VALUE!
CURO,CURO Group Holdings Corp.,26.66,$1.21B,2017,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/curo,#VALUE!
BHE,"Benchmark Electronics, Inc.",25.65,$1.22B,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/bhe,#VALUE!
CEIX,CNX Resources Corporation,43.43,$1.22B,2017,Energy,Coal Mining,https://www.nasdaq.com/symbol/ceix,#VALUE!
PGTI,"PGT Innovations, Inc.",24.5,$1.22B,2006,Capital Goods,Building Products,https://www.nasdaq.com/symbol/pgti,#VALUE!
PRO,"PROS Holdings, Inc.",37.36,$1.22B,2007,Technology,EDP Services,https://www.nasdaq.com/symbol/pro,#VALUE!
WGO,"Winnebago Industries, Inc.",38.65,$1.22B,n/a,Consumer Non-Durables,Homebuilding,https://www.nasdaq.com/symbol/wgo,#VALUE!
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),27.4,$1.23B,2007,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/edn,#VALUE!
HCC,"Warrior Met Coal, Inc.",23.26,$1.23B,2017,Energy,Coal Mining,https://www.nasdaq.com/symbol/hcc,#VALUE!
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.94,$1.23B,2005,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nfj,#VALUE!
SMLP,"Summit Midstream Partners, LP",16.8,$1.23B,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/smlp,#VALUE!
NBHC,National Bank Holdings Corporation,40.49,$1.24B,2012,Finance,Major Banks,https://www.nasdaq.com/symbol/nbhc,#VALUE!
PJT,PJT Partners Inc.,60.78,$1.24B,2015,Finance,Investment Managers,https://www.nasdaq.com/symbol/pjt,#VALUE!
SVU,SuperValu Inc.,32.15,$1.24B,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/svu,#VALUE!
SWM,"Schweitzer-Mauduit International, Inc.",40.2,$1.24B,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/swm,#VALUE!
BBN,BalckRock Taxable Municipal Bond Trust,21.94,$1.25B,2010,n/a,n/a,https://www.nasdaq.com/symbol/bbn,#VALUE!
EGL,"Engility Holdings, Inc.",33.85,$1.25B,2015,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/egl,#VALUE!
VNTR,Venator Materials PLC,11.75,$1.25B,2017,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/vntr,#VALUE!
VVI,Viad Corp,60.8,$1.25B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/vvi,#VALUE!
BFS,"Saul Centers, Inc.",56.8,$1.26B,1993,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/bfs,#VALUE!
CBZ,"CBIZ, Inc.",23,$1.27B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/cbz,#VALUE!
HESM,Hess Midstream Partners LP,23.4,$1.28B,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hesm,#VALUE!
TSLX,"TPG Specialty Lending, Inc.",19.77,$1.28B,2014,n/a,n/a,https://www.nasdaq.com/symbol/tslx,#VALUE!
USA,Liberty All-Star Equity Fund,6.52,$1.28B,1986,n/a,n/a,https://www.nasdaq.com/symbol/usa,#VALUE!
FET,"Forum Energy Technologies, Inc.",11.85,$1.29B,2012,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/fet,#VALUE!
HBM,Hudbay Minerals Inc.,4.95,$1.29B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/hbm,#VALUE!
INST,"Instructure, Inc.",37.5,$1.29B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/inst,#VALUE!
DEA,"Easterly Government Properties, Inc.",19.9,$1.2B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/dea,#VALUE!
ACCO,Acco Brands Corporation,12.25,$1.31B,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco,#VALUE!
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,32.79,$1.31B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bhvn,#VALUE!
CNNE,"Cannae Holdings, Inc.",18.5,$1.31B,2017,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/cnne,#VALUE!
FIT,"Fitbit, Inc.",5.42,$1.31B,2015,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/fit,#VALUE!
MXL,"MaxLinear, Inc",19.27,$1.31B,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/mxl,#VALUE!
AKS,AK Steel Holding Corporation,4.18,$1.32B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks,#VALUE!
CNXM,CNX Midstream Partners LP,20.68,$1.32B,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/cnxm,#VALUE!
TAHO,"Tahoe Resources, Inc.",4.21,$1.32B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/taho,#VALUE!
CHS,"Chico&#39;s FAS, Inc.",10.29,$1.33B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/chs,#VALUE!
FPF,First Trust Intermediate Duration Preferred & Income Fund,21.89,$1.33B,2013,n/a,n/a,https://www.nasdaq.com/symbol/fpf,#VALUE!
GLOG,GasLog LP.,16.5,$1.33B,2012,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/glog,#VALUE!
HYT,"Blackrock Corporate High Yield Fund, Inc.",10.61,$1.33B,2003,n/a,n/a,https://www.nasdaq.com/symbol/hyt,#VALUE!
OR,Osisko Gold Royalties Ltd,8.54,$1.33B,2016,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/or,#VALUE!
QUOT,Quotient Technology Inc.,14.05,$1.33B,2014,Consumer Services,Advertising,https://www.nasdaq.com/symbol/quot,#VALUE!
RQI,Cohen & Steers Quality Income Realty Fund Inc,12.18,$1.33B,2002,n/a,n/a,https://www.nasdaq.com/symbol/rqi,#VALUE!
TGP,Teekay LNG Partners L.P.,16.75,$1.33B,2005,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/tgp,#VALUE!
WK,Workiva Inc.,31.1,$1.33B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/wk,#VALUE!
MNR,Monmouth Real Estate Investment Corporation,16.86,$1.34B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/mnr,#VALUE!
RWT,"Redwood Trust, Inc.",16.21,$1.34B,1995,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rwt,#VALUE!
TPRE,Third Point Reinsurance Ltd.,13.1,$1.34B,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/tpre,#VALUE!
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,17.69,$1.35B,2004,n/a,n/a,https://www.nasdaq.com/symbol/etg,#VALUE!
FBK,FB Financial Corporation,43.96,$1.35B,2016,Finance,Major Banks,https://www.nasdaq.com/symbol/fbk,#VALUE!
PBY,Prospect Capital Corporation,24.8967,$1.35B,2018,n/a,n/a,https://www.nasdaq.com/symbol/pby,#VALUE!
CPLG,CorePoint Lodging Inc.,22.94,$1.36B,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cplg,#VALUE!
HL,Hecla Mining Company,2.85,$1.36B,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/hl,#VALUE!
BKE,"Buckle, Inc. (The)",27.95,$1.37B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/bke,#VALUE!
CPK,Chesapeake Utilities Corporation,83.45,$1.37B,n/a,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/cpk,#VALUE!
